Exp,Tank,Treatment,AbbrvTreat,AdultCyclopoid,adultcalanoid,Alona,Bosmina,Ceriodaphnia,Chydorid,D.dentifera,D.parvula,D.Pulex,TotDaphnia,Diaphanosoma,Eurycerus,TotalPleroxis,Scapholeberis,Simocephalus,Ostracod
CT1,1,C,NoFish,0.897435897,26.50997151,26.70940171,0.213675214,106.3247863,23.16239316,,0,0.042735043,0.042735043,16.45299145,0,,11.92307692,0.427350427,13.8034188
CT1,3,C,NoFish,1.310541311,5.584045584,1.965811966,0,43.20512821,34.47293447,,0.042735043,3.247863248,3.290598291,19.57264957,0,,3.760683761,0,27.09401709
CT1,5,C,NoFish,0.655270655,17.46438746,0.170940171,0,104.2735043,8.418803419,,0,1.111111111,1.111111111,53.88888889,0,,0.598290598,0.213675214,0.128205128
CT1,11,C,NoFish,3.048433048,10.78347578,2.692307692,0,114.1452991,9.273504274,,0.042735043,2.136752137,2.179487179,3.717948718,0,,1.111111111,0,9.316239316
CT1,14,C,NoFish,1.923076923,5.868945869,11.11111111,38.16239316,99.61538462,53.84615385,,10.85470085,3.418803419,14.52991453,22.26495726,0,,4.786324786,1.837606838,2.735042735
CT1,15,C,NoFish,0.541310541,20.28490028,10.5982906,0.128205128,157.3931624,12.82051282,,0,0,0,2.136752137,0,,10.76923077,0.427350427,5.256410256
CT1,18,C,NoFish,2.051282051,16.85185185,1.025641026,0,207.5213675,13.37606838,,0.128205128,11.92307692,12.05128205,15.04273504,0,,33.84615385,1.025641026,0.256410256
CT1,4,N,NoFish,9.017094017,1.851851852,2.64957265,0.085470085,65.5982906,18.76068376,,0.042735043,2.35042735,2.435897436,10.64102564,0.042735043,,11.96581197,2.307692308,6.068376068
CT1,7,N,NoFish,1.096866097,21.12535613,1.068376068,0,50,11.23931624,,0,0.170940171,0.170940171,7.179487179,0,,21.66666667,0,11.36752137
CT1,8,N,NoFish,0.698005698,16.50997151,15.76923077,9.829059829,209.7863248,25,,0.042735043,0.256410256,0.299145299,29.31623932,0.042735043,,14.05982906,0.085470085,8.418803419
CT1,9,N,NoFish,4.401709402,12.69230769,23.24786325,40.11396011,53.93162393,1.837606838,,32.13675214,21.28205128,57.43589744,11.41025641,0.042735043,,15.21367521,3.931623932,4.05982906
CT1,10,N,NoFish,2.678062678,7.492877493,4.487179487,17.82051282,54.65811966,11.02564103,,0,0.042735043,0.042735043,8.931623932,0,,6.709401709,0.982905983,14.87179487
CT1,12,N,NoFish,1.054131054,14.82905983,0.170940171,0,130.1282051,12.99145299,,0,0.042735043,0.042735043,82.00854701,0,,6.282051282,0,0.085470085
CT1,13,N,NoFish,2.094017094,17.35042735,0.94017094,0,81.41025641,3.675213675,,0,0.128205128,0.128205128,19.23076923,0.213675214,,17.56410256,3.418803419,6.41025641
CT1,2,F,Fish,5.384615385,9.017094017,14.82905983,13.41880342,77.13675214,23.03418803,,17.60683761,8.333333333,27.56410256,29.95726496,0.085470085,,9.188034188,1.282051282,8.675213675
CT1,6,F,Fish,0.484330484,2.037037037,16.15384615,35.38461538,311.0683761,15.38461538,,0.94017094,0.042735043,1.153846154,2.35042735,0.47008547,,16.58119658,0.299145299,1.666666667
CT1,17,F,Fish,10.51282051,2.293447293,3.547008547,0,28.29059829,47.73504274,,0,0,0,0.683760684,0,,9.05982906,3.974358974,4.017094017
CT1,19,F,Fish,4.52991453,7.849002849,18.24786325,0,86.11111111,34.25925926,,0,0.128205128,0.170940171,9.658119658,0,,15.72649573,0.042735043,13.88888889
